Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Ghana,2009,GHA,3641.2412,0,0.0,1.0,0.0,1,3782.384,3537.0989,3077.4099,3006.7068,3021.9277,3909.0889,4506.856,4704.1309,4910.4258,5091.8818,4875.0381,56,93.46332767777903,63387.3754164968
Guinea,1982,GIN,3111.5095,0,0.0,1.0,0.0,1,3122.0313,3246.3604,3136.6997,3203.6514,3018.8816,3067.2371,3037.374,3102.1169,3080.2441,3085.2178,3163.9004,57,-106.724493314769,571.2724181337031
"Gambia, The",1985,GMB,2850.3931,0,0.0,1.0,0.0,1,2873.425,2903.5059,3139.1042,3036.3481,2648.1909,2777.8274,2691.3418,2664.386,2647.9978,2639.6318,2606.3789,59,-183.27164487507798,29889.08665588377
Guinea-Bissau,1994,GNB,1456.5713,0,0.0,1.0,0.0,1,1344.5391,1232.817,1437.6387,1417.3859,1386.6517,1453.3878,1463.087,1654.9713,1384.1847,1603.5769,1537.5686,60,-52.75298420629156,2017.3845045664898
Equatorial Guinea,1980,GNQ,1744.7391,0,0.0,1.0,0.0,1,1881.8735,1903.8416,2641.6475,2411.5364,2283.4482,1563.1937,1509.9469,2303.605,2183.4294,2267.3625,1881.2556,61,-261.8129388288321,166753.9880468279
Honduras,1981,HND,2723.1741,0,0.0,0.0,1.0,1,2838.0151,2880.0354,2944.1252,2846.4182,2529.4363,2649.0444,2514.7964,2590.4358,2605.7131,2688.0425,2731.0371,62,-112.68184958972961,34488.26470172219
Honduras,1990,HND,2786.4709,0,0.0,1.0,0.0,1,2855.9988,2847.9387,2731.0371,2688.0425,2605.7131,2864.4485,2909.7241,2941.667,2912.4807,3052.0679,3057.2153,63,1.5389160239401463,2467.8680810178084
Haiti,1994,HTI,956.81049,0,1.0,0.0,0.0,1,1061.8215,1157.9698,1224.0596,1240.9011,1263.286,1223.4647,1395.7874,1449.8994,1445.1761,1584.0638,1798.1265,64,181.444173005455,6918.360298074891
Hungary,1991,HUN,11340.064,0,1.0,0.0,0.0,1,12652.113,12670.134,12215.407,11840.81,11058.248,11491.303,12046.737,12765.253,13300.703,13701.129,13906.946,65,136.6000865217302,217650.21166487315
Hungary,2008,HUN,21810.549,0,1.0,0.0,0.0,1,20589.453,19974.385,19052.273,18313.551,17915.23,21841.182,22820.121,23740.514,23669.551,24290.75,24779.592,66,648.2564314341726,71617.33578247575
