Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Bolivia,1973,BOL,,31.4860287891619,64.59340431456681,8816.5781,4.7985091,.18305355,.1942859,0,0,1,0,LatAm,2.5768805,-.46282858,,5.7391615,7.9674854,5.0633364,5.2310295,4.4740973,8.5294428,2.9395678,7.3110175,4.6145673,4.9712157,2.0526946,.13334404,-1.3717752,1
Bolivia,1980,BOL,-.1413765765765766,47.2416501018426,65.30938777893444,11848.123,5.5895748,.20659097,.19036157,0,0,0,1,LatAm,1.9083421,-.46282858,56,-1.3717752,.13334404,2.0526946,4.9712157,4.6145673,7.3110175,.27562001,-3.938741,-4.0421185,-.20067599,-1.6763872,-2.5738745,2.4634771,1
Bolivia,1986,BOL,-9.818840970066256,276.335967563202,155.3497333804968,13684.694,6.337893,.19430035,.22665943,0,1,0,0,LatAm,3.1888666,-.46282858,61,-2.5738745,-1.6763872,-.20067599,-4.0421185,-3.938741,.27562001,2.4634771,2.9095047,3.7901301,4.6357861,5.2665277,1.6464969,4.2692938,1
Bolivia,1994,BOL,-1.508047266168583,7.87404421467432,85.62520890884203,19403.533,7.4188609,.28880736,.2416653,0,1,0,0,LatAm,2.4166276,-.46282858,64,4.6672707,4.2692938,1.6464969,5.2665277,4.6357861,3.7901301,4.6782727,4.3613429,4.9542089,5.0293522,.42688957,2.5078075,1.6838009,1
Brazil,1976,BRA,-4.270424767535161,,22.48056843094666,583625.5,110.21308,.10567131,.52553773,0,0,1,0,LatAm,,-.11402176,,9.79041,5.2090759,9.04212,13.978692,12.052802,11.295087,4.606318,3.2317095,6.7662849,9.11096,-4.3933573,.58024555,-3.4097934,0
Brazil,1982,BRA,-5.792696154129516,100.54335919485,35.33621976387619,690969.94,126.94736,.065787643,.54002273,0,0,1,0,LatAm,2.22911,-.11402176,42,.58024555,-4.3933573,9.11096,6.7662849,3.2317095,4.606318,-3.4097934,5.2691431,7.9458618,7.9882951,3.5996294,-.10267272,3.2794588,1
Brazil,1987,BRA,-.493736294758179,228.33625786393,42.57792345072417,881906.31,141.27348,.092863455,.63500088,0,0,1,0,LatAm,.44580537,-.11402176,24,3.5996294,7.9882951,7.9458618,5.2691431,-3.4097934,.58024555,-.10267272,3.2794588,-3.102356,1.5119373,-.46691322,4.6651688,5.3345518,1
Brazil,1992,BRA,1.51997289061325,951.962053052818,32.95724756324302,985908.25,154.56429,.15394026,.60458589,0,0,1,0,LatAm,.52734971,-.11402176,0,-.46691322,1.5119373,-3.102356,3.2794588,-.10267272,3.5996294,4.6651688,5.3345518,4.4167314,2.2075355,3.394846,.3380979,.46793756,1
Brazil,1994,BRA,-.2065893593347552,2075.88839757325,28.46722737687696,1191718.3,159.70512,.20594455,.68948603,0,1,0,0,LatAm,,-.11402176,0,5.3345518,4.6651688,-.46691322,1.5119373,-3.102356,3.2794588,4.4167314,2.2075355,3.394846,.3380979,.46793756,4.3879495,1.3898964,0
Brazil,2015,BRA,-3.022517300097487,9.029807185774899,30.81693515510589,2976166.5,205.96211,.21277064,.72930849,0,0,1,0,LatAm,,-.11402176,,-3.5458715,.5039618,3.0048654,1.9211503,3.9744253,7.5282259,-3.3053582,1.0638325,1.1175873,,,,,0
Botswana,1984,BWA,-4.736138984734279,8.57746904251907,23.68926861178308,3159.0068,1.151292,.33156013,.27395591,0,0,1,0,Africa,,.51517785,0,8.5453835,13.146729,12.165532,9.0648575,11.986901,12.148589,7.1252713,8.172924,11.881928,19.44997,13.059406,6.7728219,7.4587092,0
Central African Republic,1976,CAF,,,20.99585543213892,2338.738,2.0624051,.27216384,.1125409,0,1,0,0,Africa,,-1.5261757,,5.432519,.4049871,6.3390336,1.88894,-.00086717482,1.1302024,3.8062348,1.2092354,-2.4651377,-4.4786386,-1.5444657,7.7157836,-8.1265135,0
Central African Republic,1994,CAF,-2.899004627234185,24.5710137275605,106.9453584284054,3368.7661,3.2676699,.21180941,.09525843,0,0,1,0,Africa,2.7719836,-1.5261757,81,4.8999496,.33527568,-6.424078,-.55254298,-2.1475282,1.9772705,7.2000456,-4.000093,5.2999358,4.7001424,3.5999749,-2.4894323,4.4647388,1
Switzerland,2008,CHE,2.378861357859011,2.42604804028587,,415978.03,7.6461129,.08065033,2.9183676,1,1,0,0,Rich,,1.9704963,0,2.1547441,4.1117678,3.9887228,3.115202,2.7762966,.039569002,-2.2221119,3.0027983,1.6927521,1.0060778,1.8520354,2.4491794,1.3333884,0
China,1998,CHN,3.058375307584818,-.773182345961248,14.24481627456773,4746426.5,1267.4415,.22598916,.30664504,0,1,0,0,Asia,,.089489624,0,7.8376141,9.2307692,9.9283724,10.949227,13.052158,13.867576,7.6674862,8.4915085,8.3399105,9.1306458,10.035603,10.111223,11.395776,0
Cote d'Ivoire,1984,CIV,,4.28476110361868,134.5893114466439,24650.693,9.8260546,.25241581,.25047567,0,0,0,1,Africa,1.2397553,-.92309225,64,-2.7012615,-3.9002404,.20082235,3.500499,-10.957697,2.3944075,4.5012231,3.2593489,-.34897292,1.1364839,2.948005,-1.0959084,.040925168,1
Cote d'Ivoire,1988,CIV,,6.93068617206517,143.4273537515713,27745.584,11.42426,.23338374,.24275382,0,1,0,0,Africa,1.2318457,-.92309225,48,1.1364839,-.34897292,3.2593489,4.5012231,-2.7012615,-3.9002404,2.948005,-1.0959084,.040925168,-.24456061,-.19248509,.8112067,7.1257448,1
Cote d'Ivoire,1994,CIV,,26.0815719947161,230.7226529323818,31874.83,14.083611,.14566353,.20912436,0,0,1,0,Africa,5.7429481,-.92309225,90,.8112067,-.19248509,-.24456061,.040925168,-1.0959084,2.948005,7.1257448,7.7293272,3.7435532,4.9306798,1.6175275,-2.0684001,.12137192,1
Cote d'Ivoire,2001,CIV,,4.36152914007255,117.2382244615646,37681.168,17.040152,.1245923,.16528778,0,0,0,1,Africa,3.0693755,-.92309225,92,.12137192,-2.0684001,1.6175275,4.9306798,3.7435532,7.7293272,-1.6676421,-1.3595359,1.2317728,1.7212473,1.5158423,1.7650368,2.5428414,1
Cote d'Ivoire,2010,CIV,1.866754113293353,1.2264561213548,48.82239583227614,52976.387,20.401331,.11950117,.14200741,0,0,0,1,Africa,3.2362828,-.92309225,89,2.0176387,3.2514536,2.5428414,1.7650368,1.5158423,1.7212473,-4.3872547,10.706504,8.8894215,8.7940769,8.8428602,7.9717512,7.7020893,1
Cameroon,1987,CMR,-7.256563383014432,13.140499844701,37.78594951625638,30902.338,10.696274,.20389415,.29388088,0,1,0,0,Africa,.66478789,-.83878541,36,-2.1466503,6.7716632,8.0631618,7.4745727,6.8668303,7.5162024,-7.8236318,-1.8191205,-6.1056976,-3.8085995,-3.1000032,-7.9320664,2.1239355,1
Cameroon,1994,CMR,-.5289488344068328,35.0944618459464,93.09154088382996,29303.875,13.10966,.11260444,.20654006,0,0,1,0,Africa,1.094829,-.83878541,94,2.1239355,-7.9320664,-3.1000032,-3.8085995,-6.1056976,-1.8191205,3.4697921,4.3610864,5.2313209,4.5022912,4.292017,3.5533743,4.3680844,1
