Country,year,CAB,Infl,EXDEBT,LogInfl,AmountDrawnPercentAgreed,AmountAgreedPercentGDP,Shortterm,simple_conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Benin,1993,-2.582996895706637,.440599214931774,56.85757055860167,-.81961966,1,3.1854784,0,33,5.8361721,2.9577107,4.2257996,8.9761343,-2.8541605,3.4052453,2.0204005,6.0451984,4.3242841,5.7346883,3.9610121,5.3414493
Benin,1996,-1.734574775292304,4.91423972637198,59.50689467151909,1.5921371,.60000002,1.67119,0,24,4.3242841,6.0451984,2.0204005,5.8361721,2.9577107,4.2257996,5.7346883,3.9610121,5.3414493,5.8577142,5.3331356,4.6430306
Benin,2000,-3.136507875597726,4.16540442290281,54.741063101877,1.4268134,1,1.0140727,0,23,5.8577142,5.3414493,3.9610121,5.7346883,4.3242841,6.0451984,5.3331356,4.6430306,3.4435768,4.4296846,1.7131646,3.9437389
Benin,2005,-4.706468163017191,5.36452085832344,32.42299219804943,1.6798071,1,.55726069,0,25,1.7131646,4.4296846,3.4435768,4.6430306,5.3331356,5.8577142,3.9437389,5.9863491,4.8965769,2.3192921,2.1140647,2.963753
Benin,2010,-7.608597084738676,2.30735682173795,22.87150958262131,.83610266,1,1.1885227,0,47,2.1140647,2.3192921,4.8965769,5.9863491,3.9437389,1.7131646,2.963753,4.8112235,7.1914339,6.3576789,1.778151,3.3396735
Benin,2017,-10.02850116299345,.0790708429996021,31.56528990209786,-2.537411,.42856759,1.2162721,0,,5.6715555,3.3396735,1.778151,6.3576789,7.1914339,4.8112235,6.6972594,6.8656874,,,,
Burkina Faso,1991,,2.16260052713424,30.94991268760207,.77131146,.2857143,.96532971,0,44,9.0699844,-.60292846,2.1502674,5.7955928,-.2363368,7.9553628,.23271076,3.461385,1.3150073,5.7163739,11.014744,6.3168349
Burkina Faso,1993,,.553455723541903,48.261930949808,-.59157354,.83333331,3.1758475,0,56,3.461385,.23271076,9.0699844,-.60292846,2.1502674,5.7955928,1.3150073,5.7163739,11.014744,6.3168349,7.3077197,7.3952379
Burkina Faso,1996,,6.09780439121743,50.18269996943181,1.8079288,1,2.2327371,0,53,11.014744,5.7163739,1.3150073,3.461385,.23271076,9.0699844,6.3168349,7.3077197,7.3952379,1.8884739,6.6134057,4.3529639
Burkina Faso,1999,,-1.07261362759535,53.53600313671488,,1,1.5896679,0,40,7.3952379,7.3077197,6.3168349,11.014744,5.7163739,1.3150073,1.8884739,6.6134057,4.3529639,7.802494,4.4784522,8.6618729
Burkina Faso,2003,,2.03456574053817,41.76917641560851,.71028239,1,.88925046,0,48,7.802494,4.3529639,6.6134057,1.8884739,7.3952379,7.3077197,4.4784522,8.6618729,6.2531648,4.1113791,5.7999916,2.9619508
Burkina Faso,2007,-8.27015235049565,-.230627306273007,21.70209057045973,,.9791528,.96664155,0,37,4.1113791,6.2531648,8.6618729,4.4784522,7.802494,4.3529639,5.7999916,2.9619508,8.4462814,6.6225624,6.4526725,5.7925849
Burkina Faso,2010,-2.020585980206563,-.764230734676734,24.59832704013741,,1,1.2416517,0,46,8.4462814,2.9619508,5.7999916,4.1113791,6.2531648,8.6618729,6.6225624,6.4526725,5.7925849,4.3268456,3.9212289,5.9579768
Burkina Faso,2013,-11.25924274361299,.5337385070905371,21.8977557724932,-.62784922,1,.62892336,0,44,5.7925849,6.4526725,6.6225624,8.4462814,2.9619508,5.7999916,4.3268456,3.9212289,5.9579768,6.2034893,6.7312355,5.6994348
Burkina Faso,2018,,1.86444958509445,23.41973750520726,.62296587,.33333334,.95529377,0,,6.7312355,6.2034893,5.9579768,3.9212289,4.3268456,5.7925849,5.6994348,,,,,
Bangladesh,1974,,,10.04150939537755,,1,.30035952,1,,9.5919561,3.3256803,-13.973729,-5.4794831,5.6198521,1.2208579,-4.0882139,5.6613612,2.6730561,7.0738378,4.8016348,.81914186
Bangladesh,1975,,,8.644508248868647,,1,.39018327,1,,-4.0882139,9.5919561,3.3256803,-13.973729,-5.4794831,5.6198521,5.6613612,2.6730561,7.0738378,4.8016348,.81914186,7.2339435
Bangladesh,1979,-2.672240644504339,,19.09837077950203,,1,.70553827,1,,4.8016348,7.0738378,2.6730561,5.6613612,-4.0882139,9.5919561,.81914186,7.2339435,2.1343279,3.8810463,4.8033099,3.3420146
Bangladesh,1980,-3.871078896653904,,20.94090891128372,,.27500001,5.7405519,0,15,.81914186,4.8016348,7.0738378,2.6730561,5.6613612,-4.0882139,7.2339435,2.1343279,3.8810463,4.8033099,3.3420146,4.1733828
Bangladesh,1983,-.2600953257628795,,29.50007937985982,,1,.41523781,1,8,3.8810463,2.1343279,7.2339435,.81914186,4.8016348,7.0738378,4.8033099,3.3420146,4.1733828,3.7724018,2.4162569,2.8365822
Bangladesh,1985,-2.043113254668517,,28.82350218291143,,1,.82034653,1,25,3.3420146,4.8033099,3.8810463,2.1343279,7.2339435,.81914186,4.1733828,3.7724018,2.4162569,2.8365822,5.6222582,3.4852278
Bangladesh,1987,-.9758650692823827,9.87469609126641,39.1603036422247,2.2899756,1,1.0709995,0,35,3.7724018,4.1733828,3.3420146,4.8033099,3.8810463,2.1343279,2.4162569,2.8365822,5.6222582,3.4852278,5.4426856,4.7115617
Bangladesh,1990,-1.259273623440541,6.12671846981463,38.13290066896419,1.8126593,.95652175,1.4813404,0,40,5.6222582,2.8365822,2.4162569,3.7724018,4.1733828,3.3420146,3.4852278,5.4426856,4.7115617,3.8901265,5.1212778,4.5229192
Bangladesh,2003,.218816448007947,5.66870773441478,29.46909674232121,1.7349612,.79117227,.93201822,0,45,4.7395673,3.8331239,5.0772877,5.2932949,4.6701565,5.1770267,5.2395329,6.5359449,6.671905,7.0585995,6.0137897,5.045125
Bangladesh,2012,1.931300818004027,6.21750422069283,19.74463652461339,1.8273686,.7142868,.73504061,0,69,6.5214586,6.4643793,5.5717883,5.045125,6.0137897,7.0585995,6.0136056,6.0610595,6.55264,7.1134782,7.2841744,7.8637428
Bulgaria,1991,-.7026971260132647,338.449111470112,119.4159773983465,5.8243737,1,3.4880321,1,29,-8.4453554,-9.1173773,-3.2898822,10.944692,6.0545139,4.207602,-7.272388,-1.4802147,1.8180112,2.855051,5.1389155,-14.192815
Bulgaria,1992,-3.477121513944223,91.2979327269304,116.2835254152915,4.5141282,.80000001,2.1090522,1,23,-7.272388,-8.4453554,-9.1173773,-3.2898822,10.944692,6.0545139,-1.4802147,1.8180112,2.855051,5.1389155,-14.192815,4.2852817
Bulgaria,1994,-.3279223744292237,96.0573382686504,103.4042003661749,4.5649452,.83338112,2.0592442,1,26,1.8180112,-1.4802147,-7.272388,-8.4453554,-9.1173773,-3.2898822,2.855051,5.1389155,-14.192815,4.2852817,-8.2810173,4.7820435
Bulgaria,1996,.1288476265165844,121.60754244925,87.95088325825859,4.8007989,.2,4.7233787,1,89,5.1389155,2.855051,1.8180112,-1.4802147,-7.272388,-8.4453554,-14.192815,4.2852817,-8.2810173,4.7820435,3.8172398,5.9530344
Bulgaria,1997,3.807681672827165,1058.37355921973,102.2552117424288,6.9644885,1,4.5222802,1,89,-14.192815,5.1389155,2.855051,1.8180112,-1.4802147,-7.272388,4.2852817,-8.2810173,4.7820435,3.8172398,5.9530344,5.1518412
Bulgaria,1998,-.4143471235686065,18.6722044420641,77.80121172445176,2.927036,1,5.6639357,0,99,4.2852817,-14.192815,5.1389155,2.855051,1.8180112,-1.4802147,-8.2810173,4.7820435,3.8172398,5.9530344,5.1518412,6.4418592
Bulgaria,2002,-1.960125857311932,5.81014365721823,74.08856204518222,1.7596053,1,1.8945566,1,63,5.9530344,3.8172398,4.7820435,-8.2810173,4.2852817,-14.192815,5.1518412,6.4418592,7.1535416,6.8021674,6.5570812,6.0856276
Bulgaria,2004,-6.437807964940701,6.1471307424627,63.28284098339378,1.8159854,0,.56616759,1,41,6.4418592,5.1518412,5.9530344,3.8172398,4.7820435,-8.2810173,7.1535416,6.8021674,6.5570812,6.0856276,-3.3748384,.55944651
Bosnia and Herzegovina,1998,-8.383191500198885,,46.71659874453093,,1,3.1111107,1,51,15.599997,34.389572,88.957664,20.799999,,,9.5999994,5.5000005,4.3999991,5.3000007,3.9999998,6.099967
Bosnia and Herzegovina,2002,-17.90162699076678,,44.2280871731141,,1,1.3160378,1,68,5.3000007,4.3999991,5.5000005,9.5999994,15.599997,34.389572,3.9999998,6.099967,8.7592573,5.4140034,5.8591185,5.4418468
Bosnia and Herzegovina,2009,-6.445248334308888,-.381464412971505,76.56643460615872,,.33333334,8.8765612,1,56,-3.004456,5.4418468,5.8591185,5.4140034,8.7592573,6.099967,.86566925,.95951122,-.82183647,2.3498566,1.1538512,3.0891643
Bosnia and Herzegovina,2012,-8.62589346964274,2.05267452001719,81.33146216099584,.71914357,.75757575,4.9616017,1,85,-.82183647,.95951122,.86566925,-3.004456,5.4418468,5.8591185,2.3498566,1.1538512,3.0891643,3.149807,3.1714349,3.7400711
Bosnia and Herzegovina,2016,-4.651741453377926,-1.08913031771457,85.0580846843385,,.1431309,3.6409898,0,,3.149807,3.0891643,1.1538512,2.3498566,-.82183647,.95951122,3.1714349,3.7400711,2.6781609,,,
Belarus,1995,-3.279972801331104,709.346032118606,12.16621830873481,6.5643435,.25473812,2.1310163,1,47,-10.400001,-11.700004,-7.6000018,-9.6000013,-1.1999955,,2.8000047,11.400005,8.399991,3.3999991,5.8000035,4.725306
Belarus,2009,-12.05446906320092,12.9456563410401,44.37002285158447,2.5607603,.22815339,6.8744941,1,30,.19999531,10.2,8.6000061,9.9999952,9.4000015,11.449743,7.7982669,5.3787074,1.6871356,1.0034709,1.7263849,-3.8295705
Belize,1984,-2.472223069266373,,47.78447985834452,,1,3.4066286,1,16,1.972065,-2.1431799,-.10771043,1.1337708,13.436682,7.5170217,1.0125139,4.5394568,10.735304,9.7877111,13.009221,11.443389
Bolivia,1965,,2.86028602860271,,1.0509217,0,2.3164346,1,,,,,,,,7.1705894,6.3172197,8.5294428,4.4740973,5.2310295,5.0633364
Bolivia,1966,,6.95187165775404,,1.939011,0,2.6898112,1,,7.1705894,,,,,,6.3172197,8.5294428,4.4740973,5.2310295,5.0633364,7.9674854
Bolivia,1967,,11.1999999990001,,2.4159138,.60000002,2.6461744,1,,6.3172197,7.1705894,,,,,8.5294428,4.4740973,5.2310295,5.0633364,7.9674854,5.7391615
Bolivia,1969,,2.20974847251321,,.79287869,.55000001,2.1513944,1,,4.4740973,8.5294428,6.3172197,7.1705894,,,5.2310295,5.0633364,7.9674854,5.7391615,2.9395678,7.3110175
Bolivia,1973,,31.4860287891619,64.59340431456681,3.449544,.66117215,2.5768805,1,,5.7391615,7.9674854,5.0633364,5.2310295,4.4740973,8.5294428,2.9395678,7.3110175,4.6145673,4.9712157,2.0526946,.13334404
Bolivia,1980,-.1413765765765766,47.2416501018426,65.30938777893444,3.8552759,.80414313,1.9083421,1,28,-1.3717752,.13334404,2.0526946,4.9712157,4.6145673,7.3110175,.27562001,-3.938741,-4.0421185,-.20067599,-1.6763872,-2.5738745
Bolivia,1986,-9.818840970066256,276.335967563202,155.3497333804968,5.6216173,.47251266,3.1888666,0,32,-2.5738745,-1.6763872,-.20067599,-4.0421185,-3.938741,.27562001,2.4634771,2.9095047,3.7901301,4.6357861,5.2665277,1.6464969
Bolivia,1988,-6.62073624580075,16.0020910549391,115.3406795052773,2.7727194,1,4.7721982,0,26,2.9095047,2.4634771,-2.5738745,-1.6763872,-.20067599,-4.0421185,3.7901301,4.6357861,5.2665277,1.6464969,4.2692938,4.6672707
Bolivia,1994,-1.508047266168583,7.87404421467432,85.62520890884203,2.0635717,1,2.4166276,0,34,4.6672707,4.2692938,1.6464969,5.2665277,4.6357861,3.7901301,4.6782727,4.3613429,4.9542089,5.0293522,.42688957,2.5078075
Bolivia,1998,-7.838734047514001,7.67322895675084,68.24226427777249,2.0377376,.63255745,1.6115972,0,54,5.0293522,4.9542089,4.3613429,4.6782727,4.6672707,4.2692938,.42688957,2.5078075,1.6838009,2.4855649,2.7113407,4.1732945
Bolivia,2003,.9353065426714456,3.33727499671533,75.36950331163527,1.2051547,.75008744,1.4859426,1,48,2.7113407,2.4855649,1.6838009,2.5078075,.42688957,5.0293522,4.1732945,4.4214349,4.797009,4.5643826,6.1484971,3.3570013
Brazil,1965,,,,,.60000002,.57365674,1,,,,,,,,4.1503601,4.9152656,11.427282,9.7358265,8.7699471,11.295087
Brazil,1966,,,,,0,.46189007,1,,4.1503601,,,,,,4.9152656,11.427282,9.7358265,8.7699471,11.295087,12.052802
Brazil,1967,,,,,0,.098065384,1,,4.9152656,4.1503601,,,,,11.427282,9.7358265,8.7699471,11.295087,12.052802,13.978692
Brazil,1968,,,,,.85714287,.25829586,1,,11.427282,4.9152656,4.1503601,,,,9.7358265,8.7699471,11.295087,12.052802,13.978692,9.04212
