Country,year,GrowthPWT,L1Growth,F1Growth,L2Growth,F2Growth,L3Growth,F3Growth,L4Growth,F4Growth,L5Growth,F5Growth
"Congo, Democratic Republic of the",1976,-5.455122948,-5.109995365,0.757913411,3.082577705,-5.493450642,7.823135376,0.429161847,0.151018843,2.171174049,5.831626415,2.323323727
"Congo, Democratic Republic of the",1983,1.401831627,-0.458728582,5.393001556,2.323323727,0.466762394,2.171174049,4.609325886,0.429161847,2.640470982,-5.493450642,0.469283491
"Congo, Democratic Republic of the",1989,-1.27413559,0.469283491,-6.793959141,2.640470982,-8.796877861,4.609325886,-11.09316921,0.466762394,-14.46679783,5.393001556,-3.97809124
"Congo, Democratic Republic of the",1991,-8.796877861,-6.793959141,-11.09316921,-1.27413559,-14.46679783,0.469283491,-3.97809124,2.640470982,0.697564006,4.609325886,-1.028447747
"Congo, Democratic Republic of the",1994,-3.97809124,-14.46679783,0.697564006,-11.09316921,-1.028447747,-8.796877861,-5.780963421,-6.793959141,-1.637489557,-1.27413559,-4.363995552
"Congo, Democratic Republic of the",1999,-4.363995552,-1.637489557,-7.160653591,-5.780963421,-2.122848511,-1.028447747,2.904272556,0.697564006,5.427370548,-3.97809124,6.52188921
"Congo, Democratic Republic of the",2009,2.815804958,6.038729668,6.866684437,6.071331501,6.648591995,5.184161663,6.847697258,5.955043793,8.140574455,6.52188921,9.046000481
"Congo, Republic of",1986,-7.130128384,-1.159306169,0.189204544,6.969935417,1.750847578,5.457993031,1.749279499,21.16230011,0.998412311,19.24224663,2.367132187
"Congo, Republic of",1992,2.578419209,2.367132187,-0.984513521,0.998412311,-5.64970541,1.749279499,3.907958269,1.750847578,6.196007252,0.189204544,-2.467151403
"Congo, Republic of",1994,-5.64970541,-0.984513521,3.907958269,2.578419209,6.196007252,2.367132187,-2.467151403,0.998412311,3.535140991,1.749279499,-2.636503935
Colombia,1982,0.943957746,2.251335382,1.561698794,4.006032467,3.29577136,5.23942852,3.059808969,8.130254745,5.660784721,4.074359894,5.229768276
Colombia,1985,3.059808969,3.29577136,5.660784721,1.561698794,5.229768276,0.943957746,3.983759403,2.251335382,3.357108831,4.006032467,4.19285059
Colombia,1998,0.568164349,3.372774124,-4.29493475,2.035006285,2.882903337,5.071626186,1.663975954,5.019245148,2.473140717,5.553081989,3.843454599
Comoros,1994,-5.420997143,2.961645365,3.546487331,3.409643173,-1.350931287,1.765251517,4.128818989,0.848856807,1.14828372,-1.650211096,1.906745553
Cabo Verde,1993,7.058560848,2.998078346,6.698123932,1.396878719,7.222698689,0.685736239,6.48820734,5.542463303,7.355279446,5.823940277,8.077608109
Costa Rica,1981,-2.285453558,0.749064207,-7.564272881,4.824213028,2.819310665,6.076845646,7.72246027,8.528717995,0.71795249,5.36657095,5.381437778
Costa Rica,1987,4.654643536,5.381437778,3.380909443,0.71795249,5.511083126,7.72246027,3.490468979,2.819310665,2.237114191,-7.564272881,8.757137299
Costa Rica,1991,2.237114191,3.490468979,8.757137299,5.511083126,7.151716232,3.380909443,4.621131897,4.654643536,3.84594512,5.381437778,0.882716
