Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Bolivia,1980,BOL,-.1413765765765766,47.2416501018426,65.30938777893444,11848.123,5.5895748,.20659097,.19036157,0,0,0,1,LatAm,1.9083421,-.46282858,56,-1.3717772,.13334876,2.0526888,4.9712152,4.6145716,7.3110218,.92479908,-4.3591785,-4.4626484,-.60152978,-.9654268,-2.4908614,2.6013558,1
Bolivia,1986,BOL,-9.818840970066256,276.335967563202,155.3497333804968,13684.694,6.337893,.19430035,.22665943,0,1,0,0,LatAm,3.1888666,-.46282858,61,-2.4908614,-.9654268,-.60152978,-4.4626484,-4.3591785,.92479908,2.6013558,2.9590032,3.7904422,4.6344566,5.2645183,1.6486259,4.2665186,1
Bolivia,1994,BOL,-1.508047266168583,7.87404421467432,85.62520890884203,19403.533,7.4188609,.28880736,.2416653,0,1,0,0,LatAm,2.4166276,-.46282858,64,4.6723599,4.2665186,1.6486259,5.2645183,4.6344566,3.7904422,4.6745024,4.3635297,4.9542127,5.0293489,.42689013,2.507813,1.6837993,1
Brazil,1976,BRA,-4.270424767535161,,22.48056843094666,583625.5,110.21308,.10567131,.52553773,0,0,1,0,LatAm,,-.11402176,,10.260012,5.1699944,8.1500025,13.97,11.939996,11.340011,4.929987,4.9700074,6.7599945,9.2299976,-4.2499948,.83000153,-2.9300003,0
Brazil,1982,BRA,-5.792696154129516,100.54335919485,35.33621976387619,690969.94,126.94736,.065787643,.54002273,0,0,1,0,LatAm,2.22911,-.11402176,42,.83000153,-4.2499948,9.2299976,6.7599945,4.9700074,4.929987,-2.9300003,5.3999934,7.8490071,7.4899931,3.5300004,-.059995834,3.1599987,1
Brazil,1987,BRA,-.493736294758179,228.33625786393,42.57792345072417,881906.31,141.27348,.092863455,.63500088,0,0,1,0,LatAm,.44580537,-.11402176,24,3.5300004,7.4899931,7.8490071,5.3999934,-2.9300003,.83000153,-.059995834,3.1599987,-4.3499994,1.029996,-.93632668,4.8361917,5.8523116,1
Brazil,1992,BRA,1.51997289061325,951.962053052818,32.95724756324302,985908.25,154.56429,.15394026,.60458589,0,0,1,0,LatAm,.52734971,-.11402176,0,-.93632668,1.029996,-4.3499994,3.1599987,-.059995834,3.5300004,4.8361917,5.8523116,4.2235932,2.1505306,3.3752537,.035352014,.25406232,1
Brazil,1994,BRA,-.2065893593347552,2075.88839757325,28.46722737687696,1191718.3,159.70512,.20594455,.68948603,0,1,0,0,LatAm,,-.11402176,0,5.8523116,4.8361917,-.93632668,1.029996,-4.3499994,3.1599987,4.2235932,2.1505306,3.3752537,.035352014,.25406232,4.3061948,1.3131217,0
Brazil,2015,BRA,-3.022517300097487,9.029807185774899,30.81693515510589,2976166.5,205.96211,.21277064,.72930849,0,0,1,0,LatAm,,-.11402176,,-3.7692564,.50396216,3.0048196,1.9211766,3.9744196,7.5282288,-3.4627225,.98544377,,,,,,0
Botswana,1984,BWA,-4.736138984734279,8.57746904251907,23.68926861178308,3159.0068,1.151292,.33156013,.27395591,0,0,1,0,Africa,,.51517785,0,13.609283,11.898302,8.4365301,11.742427,12.218605,14.286424,9.2289114,7.3372984,8.224721,12.223145,33.272835,7.1267104,7.4240017,0
