Country,year,AmountAgreedPercentGDP,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Central African Republic,1981,1.7649957,-1.5444657,-4.4786386,-2.4651377,1.2092354,3.8062348,5.432519,7.7157836,-8.1265135,9.4817266,3.9272196,3.5779793,-4.9389877
Central African Republic,1983,2.921293,-8.1265135,7.7157836,-1.5444657,-4.4786386,-2.4651377,1.2092354,9.4817266,3.9272196,3.5779793,-4.9389877,1.7101653,1.9772705
Central African Republic,1984,2.4105759,9.4817266,-8.1265135,7.7157836,-1.5444657,-4.4786386,-2.4651377,3.9272196,3.5779793,-4.9389877,1.7101653,1.9772705,-2.1475282
Central African Republic,1985,1.7610021,3.9272196,9.4817266,-8.1265135,7.7157836,-1.5444657,-4.4786386,3.5779793,-4.9389877,1.7101653,1.9772705,-2.1475282,-.55254298
Central African Republic,1994,2.7719836,4.8999496,.33527568,-6.424078,-.55254298,-2.1475282,1.9772705,7.2000456,-4.000093,5.2999358,4.7001424,3.5999749,-2.4894323
Chile,1965,.59735239,,,,,,,11.236242,3.6159999,3.5920134,3.9379833,1.828967,9.4226866
Chile,1966,.56555963,11.236242,,,,,,3.6159999,3.5920134,3.9379833,1.828967,9.4226866,-1.0199478
Chile,1968,.64182281,3.5920134,3.6159999,11.236242,,,,3.9379833,1.828967,9.4226866,-1.0199478,-5.0292482,2.3821492
Chile,1969,.4774926,3.9379833,3.5920134,3.6159999,11.236242,,,1.828967,9.4226866,-1.0199478,-5.0292482,2.3821492,-12.912101
Chile,1974,.58609414,2.3821492,-5.0292482,-1.0199478,9.4226866,1.828967,3.9379833,-12.912101,3.8325839,10.444686,7.7011037,8.4183044,7.9866209
Chile,1975,1.2583954,-12.912101,2.3821492,-5.0292482,-1.0199478,9.4226866,1.828967,3.8325839,10.444686,7.7011037,8.4183044,7.9866209,6.5253706
Chile,1983,2.6257606,-5.0174203,-11.014305,6.5253706,7.9866209,8.4183044,7.7011037,4.1036835,4.0099163,5.3776922,6.4604683,7.3451104,9.9233828
Chile,1989,.27448651,9.9233828,7.3451104,6.4604683,5.3776922,4.0099163,4.1036835,3.3335655,7.8043923,11.166708,6.5887837,5.0301981,8.9332962
China,1981,.27090994,5.1724138,7.8066916,7.5999999,11.134165,7.5700002,-1.5700001,8.9344263,10.835215,15.139172,13.443397,8.9397087,11.688931
China,1986,.23315318,8.9397087,13.443397,15.139172,10.835215,8.9344263,5.1724138,11.688931,11.234515,4.1858678,3.9071138,9.294076,14.216164
Cote d'Ivoire,1984,1.2397553,-2.7012615,-3.9002404,.20082235,3.500499,-10.957697,2.3944075,4.5012231,3.2593489,-.34897292,1.1364839,2.948005,-1.0959084
Cote d'Ivoire,1985,.9632923,4.5012231,-2.7012615,-3.9002404,.20082235,3.500499,-10.957697,3.2593489,-.34897292,1.1364839,2.948005,-1.0959084,.040925168
Cote d'Ivoire,1986,1.2809798,3.2593489,4.5012231,-2.7012615,-3.9002404,.20082235,3.500499,-.34897292,1.1364839,2.948005,-1.0959084,.040925168,-.24456061
Cote d'Ivoire,1988,1.2318457,1.1364839,-.34897292,3.2593489,4.5012231,-2.7012615,-3.9002404,2.948005,-1.0959084,.040925168,-.24456061,-.19248509,.8112067
Cote d'Ivoire,1989,1.9244528,2.948005,1.1364839,-.34897292,3.2593489,4.5012231,-2.7012615,-1.0959084,.040925168,-.24456061,-.19248509,.8112067,7.1257448
Cote d'Ivoire,1991,1.0789917,.040925168,-1.0959084,2.948005,1.1364839,-.34897292,3.2593489,-.24456061,-.19248509,.8112067,7.1257448,7.7293272,3.7435532
