Country,year,IMFsizeGDP,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Costa Rica,1991,.6648647706630113,2.2371292,3.490448,5.5110931,3.3808708,4.6546936,5.3813934,8.7572098,7.1516991,4.6211243,3.8458824,.88272095,5.4282188
Costa Rica,1993,.3014761235801731,7.1516991,8.7572098,2.2371292,3.490448,5.5110931,3.3808708,4.6211243,3.8458824,.88272095,5.4282188,8.0637932,7.9015732
Costa Rica,1995,.6695119783219641,3.8458824,4.6211243,7.1516991,8.7572098,2.2371292,3.490448,.88272095,5.4282188,8.0637932,7.9015732,1.7848015,1.0706902
Costa Rica,2009,2.503636836541526,-1.0209084,2.6949883,7.6361656,8.4154129,5.7196617,4.1711807,4.8355103,4.4186592,5.0385475,3.3795357,3.4423828,
Czech Republic,1993,0,.061893463,-.50783157,-12.346745,,,,2.867794,6.035614,4.1935921,-.67653656,-.31652451,1.4277458
DJIBOUTI,1996,2.40142882347514,-5.2251339,5.4502964,-2.4528503,4.725647,5.6974411,-3.1972885,4.5009613,-.18539429,2.1555901,1.2890816,1.980257,2.5667667
DOMINICA    ,1984,1.257173675311928,5.3556919,2.6762962,4.0316105,11.408567,13.403368,-20.456266,1.2818813,6.831646,7.3588848,8.332634,-.43325424,5.1662922
DOMINICA    ,2002,1.338322340258797,-2.058506,.33836365,.63452721,.63862801,3.1117439,2.4637699,7.3850632,2.6006222,-.32372475,4.4702053,5.7855129,7.5253487
DOMINICA    ,2012,,-1.1490822,.18391609,1.1688232,-1.1360168,7.5253487,5.7855129,.39205551,1.0962009,,,,
DOMINICA    ,2015,,,1.0962009,.39205551,-1.1490822,.18391609,1.1688232,,,,,,
Dominican Republic,1985,1.327321114877617,-2.1453857,1.2451172,4.5240402,1.6854286,4.1898727,7.670784,3.4613609,9.6376419,2.1330833,4.3064117,-5.1339149,.76675415
Dominican Republic,1991,.5677212362929975,.76675415,-5.1339149,4.3064117,2.1330833,9.6376419,3.4613609,9.9965096,6.9734573,2.2771835,5.3481102,6.8885803,7.7000618
Dominican Republic,1993,.3339121452654252,6.9734573,9.9965096,.76675415,-5.1339149,4.3064117,2.1330833,2.2771835,5.3481102,6.8885803,7.7000618,6.775856,6.4992905
Dominican Republic,2003,3.023353270277299,-.25377274,5.6269646,1.7930984,5.5024147,6.4992905,6.775856,1.3033867,8.8585854,10.139275,8.1346512,3.0953407,.9314537
Dominican Republic,2005,1.740688952143635,8.8585854,1.3033867,-.25377274,5.6269646,1.7930984,5.5024147,10.139275,8.1346512,3.0953407,.9314537,7.9754829,2.7817726
Dominican Republic,2009,3.551076704428486,.9314537,3.0953407,8.1346512,10.139275,8.8585854,1.3033867,7.9754829,2.7817726,2.59552,4.6671867,7.0838928,
Algeria,1991,.9194995681635759,-1.2072563,.79679489,4.3059349,-1.0050774,-.70238113,.39920807,1.7840385,-2.1224022,-.90408325,3.7296295,4.018116,1.0940552
Algeria,1994,1.573208206385639,-.90408325,-2.1224022,1.7840385,-1.2072563,.79679489,4.3059349,3.7296295,4.018116,1.0940552,4.9741745,3.1498909,3.7295341
Ecuador,1983,1.089909486587419,-2.8614998,1.1803627,3.8674355,4.7897339,5.1668167,6.3828468,4.1166306,4.2510986,3.0508041,-6.1698914,10.001278,.2573967
Ecuador,1985,.6154329260081161,4.2510986,4.1166306,-2.8614998,1.1803627,3.8674355,4.7897339,3.0508041,-6.1698914,10.001278,.2573967,2.9835701,4.8949242
Ecuador,1986,.6675371706163608,3.0508041,4.2510986,4.1166306,-2.8614998,1.1803627,3.8674355,-6.1698914,10.001278,.2573967,2.9835701,4.8949242,3.5037994
Ecuador,1988,.8259123883961358,10.001278,-6.1698914,3.0508041,4.2510986,4.1166306,-2.8614998,.2573967,2.9835701,4.8949242,3.5037994,2.0112038,4.5965195
Ecuador,1989,1.198652540654488,.2573967,10.001278,-6.1698914,3.0508041,4.2510986,4.1166306,2.9835701,4.8949242,3.5037994,2.0112038,4.5965195,1.7333031
